Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Price Change,Volume Category,Weekday
2022-01-03 00:00:00-05:00,176.05276134987577,181.05229445977199,175.9339654689117,180.19097900390625,104487900,0.0,0.0,,Medium,0
2022-01-04 00:00:00-05:00,180.80477780369188,181.11167720796664,177.32984751406158,177.904052734375,99310400,0.0,0.0,Down,Medium,1
2022-01-05 00:00:00-05:00,177.81492794922832,178.36932873534664,172.89459831299553,173.1717987060547,94537600,0.0,0.0,Down,Medium,2
2022-01-06 00:00:00-05:00,170.97402225261916,173.548043730643,169.92461837668833,170.28102111816406,96904000,0.0,0.0,Down,Medium,3
2022-01-07 00:00:00-05:00,171.16214638901698,172.39965395881043,169.32073452091262,170.4493408203125,86709100,0.0,0.0,Stable,Medium,4
2022-01-10 00:00:00-05:00,167.3901972961038,170.77601561910149,166.4892883128352,170.4691162109375,106765600,0.0,0.0,Stable,Medium,0
2022-01-11 00:00:00-05:00,170.59783494959171,173.429237504294,169.1128260037476,173.3302459716797,76138300,0.0,0.0,Up,Low,1
2022-01-12 00:00:00-05:00,174.3598414567004,175.40924533692376,173.07284581871588,173.77574157714844,74805200,0.0,0.0,Stable,Low,2
2022-01-13 00:00:00-05:00,174.02323372208025,174.85483504219386,170.0731047921041,170.4691162109375,84505800,0.0,0.0,Down,Medium,3
2022-01-14 00:00:00-05:00,169.62761091106265,172.04322777577116,169.38010943076532,171.34033203125,80440800,0.0,0.0,Stable,Low,4
2022-01-18 00:00:00-05:00,169.7958983749319,170.81560319480948,167.7168951478327,168.10299682617188,90956700,0.0,0.0,Down,Medium,1
2022-01-19 00:00:00-05:00,168.3010063567733,169.37021456285368,164.2815847396123,164.5686798095703,94815000,0.0,0.0,Down,Medium,2
2022-01-20 00:00:00-05:00,165.311191176889,167.9842042509591,162.53917146417876,162.86587524414062,91420500,0.0,0.0,Down,Medium,3
2022-01-21 00:00:00-05:00,162.77675624943072,164.66767100435752,160.67794873037315,160.78684997558594,122848900,0.0,0.0,Down,Medium,4
2022-01-24 00:00:00-05:00,158.42077535471705,160.67798798301453,153.153935817827,160.00477600097656,162294600,0.0,0.0,Stable,High,0
2022-01-25 00:00:00-05:00,157.39114345503353,161.1333647792294,155.45074023093528,158.1831512451172,115798400,0.0,0.0,Down,Medium,1
2022-01-26 00:00:00-05:00,161.86597549038532,162.74708019614246,156.24274885280994,158.09405517578125,108275300,0.0,0.0,Stable,Medium,2
2022-01-27 00:00:00-05:00,160.8264531858642,162.20256076337864,156.69813045332086,157.6287384033203,121954600,0.0,0.0,Stable,Medium,3
2022-01-28 00:00:00-05:00,164.053848853349,168.64747463156408,161.17292868193948,168.62767028808594,179935700,0.0,0.0,Up,High,4
2022-01-31 00:00:00-05:00,168.45941112213438,173.25103615367465,167.81589820978868,173.03323364257812,115541600,0.0,0.0,Up,Medium,0
2022-02-01 00:00:00-05:00,172.27093482856998,173.09264160323227,170.587927686886,172.8649444580078,86213900,0.0,0.0,Stable,Medium,1
2022-02-02 00:00:00-05:00,173.00352358369815,174.12223503659285,171.59771707892025,174.08262634277344,84914300,0.0,0.0,Stable,Medium,2
2022-02-03 00:00:00-05:00,172.73622344797076,174.47864348230152,170.39980894344717,171.17201232910156,89418100,0.0,0.0,Down,Medium,3
2022-02-04 00:00:00-05:00,170.18077602660924,172.5796563894737,169.1895086495888,170.88458251953125,82465400,0.22,0.0,Stable,Low,4
2022-02-07 00:00:00-05:00,171.350467451423,172.43094518692237,169.45714326317366,170.16094970703125,77251200,0.0,0.0,Stable,Low,0
2022-02-08 00:00:00-05:00,170.2303186833444,173.81871637315277,169.93293548659796,173.30325317382812,74829200,0.0,0.0,Up,Low,1
2022-02-09 00:00:00-05:00,174.5125828615193,175.1073340696503,173.3726165762466,174.74057006835938,71285000,0.0,0.0,Stable,Low,2
2022-02-10 00:00:00-05:00,172.6192769056575,173.94757137972226,170.05189837917317,170.61691284179688,90865900,0.0,0.0,Down,Medium,3
2022-02-11 00:00:00-05:00,170.8250912862739,171.56854174239533,166.57254620695787,167.1673126220703,98670700,0.0,0.0,Down,Medium,4
2022-02-14 00:00:00-05:00,165.90838922473029,168.09909642895062,165.1054651992611,167.40521240234375,86185500,0.0,0.0,Stable,Medium,0
2022-02-15 00:00:00-05:00,169.47695320962967,171.43965801676265,168.7632396205746,171.2810516357422,62527400,0.0,0.0,Up,Low,1
2022-02-16 00:00:00-05:00,170.34926786706546,171.8262462583375,168.56498395007378,171.04315185546875,61177400,0.0,0.0,Stable,Low,2
2022-02-17 00:00:00-05:00,169.5364308681086,170.40875085900717,166.99878921335352,167.40521240234375,69589300,0.0,0.0,Down,Low,3
2022-02-18 00:00:00-05:00,168.33700207965728,169.05070054356474,164.73869732666938,165.83900451660156,82772700,0.0,0.0,Stable,Low,4
2022-02-22 00:00:00-05:00,163.53928048685717,165.23435428280618,160.7339921172811,162.8850555419922,91162800,0.0,0.0,Down,Medium,1
2022-02-23 00:00:00-05:00,164.0943831648147,164.69905682644028,158.35495211884296,158.6721649169922,90009200,0.0,0.0,Down,Medium,2
2022-02-24 00:00:00-05:00,151.2475538390105,161.42787239639142,150.6726170378804,161.31883239746094,141147500,0.0,0.0,Up,High,3
2022-02-25 00:00:00-05:00,162.40921086021282,163.67803163837567,159.46514613066114,163.410400390625,91974200,0.0,0.0,Up,Medium,4
2022-02-28 00:00:00-05:00,161.6360465533092,163.97543803026267,161.01154330240917,163.6780548095703,95056600,0.0,0.0,Stable,Medium,0
2022-03-01 00:00:00-05:00,163.2616962542609,165.14511291082616,160.5555411753086,161.77479553222656,83474400,0.0,0.0,Down,Low,1
2022-03-02 00:00:00-05:00,162.95440559849723,165.89847023347141,161.52697848753567,165.10545349121094,79724800,0.0,0.0,Up,Low,2
2022-03-03 00:00:00-05:00,166.9987949165887,167.43495492693344,164.10429635993654,164.77835083007812,76678400,0.0,0.0,Stable,Low,3
2022-03-04 00:00:00-05:00,163.0535360271563,164.10427676724368,160.68440818612697,161.74505615234375,83737200,0.0,0.0,Down,Low,4
2022-03-07 00:00:00-05:00,161.9334170899732,163.57892434011342,157.65113534872225,157.90887451171875,96418800,0.0,0.0,Down,Medium,0
2022-03-08 00:00:00-05:00,157.43307821168816,161.4576209878166,154.4394467616191,156.06512451171875,131148300,0.0,0.0,Down,Medium,1
2022-03-09 00:00:00-05:00,160.06982875344372,161.98298238084854,158.01791344380138,161.52699279785156,91454900,0.0,0.0,Up,Medium,2
2022-03-10 00:00:00-05:00,158.80101821254252,158.989361419365,154.6178690023566,157.1356964111328,105342000,0.0,0.0,Down,Medium,3
2022-03-11 00:00:00-05:00,157.54208811679152,157.88903768542303,153.15078170108927,153.37876892089844,96970100,0.0,0.0,Down,Medium,4
2022-03-14 00:00:00-04:00,150.12742589519166,152.77410770651994,148.78922414818115,149.30467224121094,108732100,0.0,0.0,Down,Medium,0
2022-03-15 00:00:00-04:00,149.582214237944,154.2114453664796,149.0667661849918,153.73562622070312,92964300,0.0,0.0,Up,Medium,1
2022-03-16 00:00:00-04:00,155.67852271027488,158.60275803646465,153.11114419468865,158.1963348388672,102300200,0.0,0.0,Up,Medium,2
2022-03-17 00:00:00-04:00,157.22488932947712,159.59401730431472,156.2534517201664,159.2173309326172,75615400,0.0,0.0,Stable,Low,3
2022-03-18 00:00:00-04:00,159.10830548274402,163.04363778981477,158.36485502360782,162.54800415039062,123511700,0.0,0.0,Up,Medium,4
2022-03-21 00:00:00-04:00,162.08208070560653,164.89729081069066,161.58644714756483,163.93576049804688,95811400,0.0,0.0,Stable,Medium,0
2022-03-22 00:00:00-04:00,164.06462655064757,167.94048487900454,163.46987531422116,167.34573364257812,81532000,0.0,0.0,Up,Low,1
2022-03-23 00:00:00-04:00,166.5229727690099,171.1323589329495,166.18593044504055,168.7235870361328,98062700,0.0,0.0,Stable,Medium,2
2022-03-24 00:00:00-04:00,169.56615716368157,172.6192618170366,168.7235891570076,172.5498809814453,90131400,0.0,0.0,Up,Medium,3
2022-03-25 00:00:00-04:00,172.36155301338798,173.74932110305383,171.2414161888834,173.1942138671875,80546200,0.0,0.0,Stable,Low,4
2022-03-28 00:00:00-04:00,170.6664739209418,174.19538277239084,170.49796031011837,174.0665283203125,90371900,0.0,0.0,Stable,Medium,0
2022-03-29 00:00:00-04:00,175.14700548096687,177.44673753928953,174.80005590779479,177.39718627929688,100589400,0.0,0.0,Up,Medium,1
2022-03-30 00:00:00-04:00,176.9907776079845,178.04151851502155,175.1569270717522,176.21759033203125,92633200,0.0,0.0,Stable,Medium,2
2022-03-31 00:00:00-04:00,176.28697907345958,176.47532228703255,172.87701702392917,173.08518981933594,103049300,0.0,0.0,Down,Medium,3
2022-04-01 00:00:00-04:00,172.51022715969754,173.35281031796424,170.43848237120457,172.78778076171875,78751300,0.0,0.0,Stable,Low,4
2022-04-04 00:00:00-04:00,173.04552973866717,176.9312955131963,172.91666015700346,176.88172912597656,76468400,0.0,0.0,Up,Low,0
2022-04-05 00:00:00-04:00,175.94994461650458,176.74296147650358,172.89683953710852,173.53125,73401800,0.0,0.0,Down,Low,1
2022-04-06 00:00:00-04:00,170.85480763857456,172.11372116203185,168.6442861155162,170.32943725585938,89058800,0.0,0.0,Down,Medium,2
2022-04-07 00:00:00-04:00,169.66531156665854,171.84609656130058,168.36675384771186,170.63674926757812,77594700,0.0,0.0,Stable,Low,3
2022-04-08 00:00:00-04:00,170.27988886638815,170.27988886638815,167.72241751821616,168.60464477539062,76575500,0.0,0.0,Down,Low,4
2022-04-11 00:00:00-04:00,167.23669353531054,167.5538911694186,164.0547192143459,164.3025360107422,72246700,0.0,0.0,Down,Low,0
2022-04-12 00:00:00-04:00,166.55273390376584,168.3865693105695,165.18478020665574,166.1958770751953,79265200,0.0,0.0,Up,Low,1
2022-04-13 00:00:00-04:00,165.92821741729253,169.54633667791725,165.31363658822593,168.91192626953125,70618900,0.0,0.0,Up,Low,2
2022-04-14 00:00:00-04:00,169.12999814068814,169.7743308705497,163.59872556819087,163.84654235839844,75329400,0.0,0.0,Down,Low,3
2022-04-18 00:00:00-04:00,162.48849753065755,165.1451011636673,162.1415631288496,163.6284637451172,69023900,0.0,0.0,Stable,Low,0
2022-04-19 00:00:00-04:00,163.57891992587136,166.35447115079717,162.47861271306476,165.93812561035156,67723800,0.0,0.0,Up,Low,1
2022-04-20 00:00:00-04:00,167.2862451309006,167.40520747877537,164.6494859073444,165.7696075439453,67929800,0.0,0.0,Stable,Low,2
2022-04-21 00:00:00-04:00,167.43495090331956,170.03206619727672,164.46114922301896,164.96669006347656,87227800,0.0,0.0,Stable,Medium,3
2022-04-22 00:00:00-04:00,165.0063366187588,166.4040118063295,160.08964489432256,160.37710571289062,84882400,0.0,0.0,Down,Medium,4
2022-04-25 00:00:00-04:00,159.71298617467934,161.74508721108586,157.0762265920136,161.45762634277344,96046400,0.0,0.0,Stable,Medium,0
2022-04-26 00:00:00-04:00,160.8331133962531,160.92232381977985,155.35140664277517,155.4307098388672,95623200,0.0,0.0,Down,Medium,1
2022-04-27 00:00:00-04:00,154.54848822398645,158.3945950589086,154.02311776553654,155.20272827148438,88063200,0.0,0.0,Stable,Medium,2
2022-04-28 00:00:00-04:00,157.85930550689923,163.08328801533926,157.54209273479066,162.21096801757812,130216800,0.0,0.0,Up,Medium,3
2022-04-29 00:00:00-04:00,160.42668168455637,164.7486073264787,155.87676881941587,156.2732696533203,131747600,0.0,0.0,Down,Medium,4
2022-05-02 00:00:00-04:00,155.34149760095795,156.8482129324933,151.93153583652065,156.58058166503906,123055300,0.0,0.0,Stable,Medium,0
2022-05-03 00:00:00-04:00,156.76892341672843,159.30658050685022,154.95491749909982,158.08731079101562,88966500,0.0,0.0,Stable,Medium,1
2022-05-04 00:00:00-04:00,158.27565211851262,165.02618018810924,157.86922888474598,164.57020568847656,108256500,0.0,0.0,Up,Medium,2
2022-05-05 00:00:00-04:00,162.4191443788186,162.64713161034837,153.59685681021196,155.40097045898438,130525300,0.0,0.0,Down,Medium,3
2022-05-06 00:00:00-04:00,154.8748262004885,158.2798765269892,153.05813992710523,156.13558959960938,116124600,0.23,0.0,Stable,Medium,4
2022-05-09 00:00:00-04:00,153.80264866053622,154.696108922872,150.3876924541417,150.9535369873047,131577900,0.0,0.0,Down,Medium,0
2022-05-10 00:00:00-04:00,154.38838751775543,155.59951159221254,151.81722173149993,153.38572692871094,115366700,0.0,0.0,Up,Medium,1
2022-05-11 00:00:00-04:00,152.38308684573647,154.31889501715608,144.74903922441572,145.43402099609375,142689800,0.0,0.0,Down,High,2
2022-05-12 00:00:00-04:00,141.7311531823983,145.13618787314408,137.79003926275462,141.52267456054688,182602000,0.0,0.0,Down,High,3
2022-05-13 00:00:00-04:00,143.53791338166033,147.02238319608435,142.06868657534454,146.03958129882812,113990900,0.0,0.0,Up,Medium,4
2022-05-16 00:00:00-04:00,144.49093973933415,146.44660666959047,143.13089794938585,144.4810028076172,86643800,0.0,0.0,Down,Medium,0
2022-05-17 00:00:00-04:00,147.77684341697514,148.6802255756009,145.61269797915526,148.15408325195312,78336300,0.0,0.0,Up,Low,1
2022-05-18 00:00:00-04:00,145.7814714098873,146.28775500898428,138.88203004967724,139.79534912109375,109742900,0.0,0.0,Down,Medium,2
2022-05-19 00:00:00-04:00,138.86220639216,140.62925349853944,135.60607362437568,136.35061645507812,136095600,0.0,0.0,Down,High,3
2022-05-20 00:00:00-04:00,138.07793749703902,139.67622327962164,131.645092083235,136.58885192871094,137426100,0.0,0.0,Stable,High,4
2022-05-23 00:00:00-04:00,136.7873974994793,142.21759757028707,136.64841678175944,142.06869506835938,117726300,0.0,0.0,Up,Medium,0
2022-05-24 00:00:00-04:00,139.78542197691854,140.93698510605824,136.33074773726096,139.3386993408203,104132700,0.0,0.0,Down,Medium,1
2022-05-25 00:00:00-04:00,137.42273921872214,140.75829157067912,137.33339771813021,139.49754333496094,92482700,0.0,0.0,Stable,Medium,2
2022-05-26 00:00:00-04:00,136.390306674351,143.28973326557036,136.1421257527405,142.7338104248047,90601500,0.0,0.0,Up,Medium,3
2022-05-27 00:00:00-04:00,144.33210213660297,148.5908802626007,144.20304320474298,148.55117797851562,90978500,0.0,0.0,Up,Medium,4
2022-05-31 00:00:00-04:00,147.98532587760639,149.56375288938744,145.77154117036707,147.75698852539062,103718400,0.0,0.0,Stable,Medium,1
2022-06-01 00:00:00-04:00,148.80928878088795,150.6359120510635,146.6054407742385,147.62796020507812,74286600,0.0,0.0,Stable,Low,2
2022-06-02 00:00:00-04:00,146.7543306182326,150.1693022028951,145.79138752089136,150.1097412109375,72348100,0.0,0.0,Up,Low,3
2022-06-03 00:00:00-04:00,145.83110316602864,146.8933247791657,143.4088701004318,144.32217407226562,88570300,0.0,0.0,Down,Medium,4
2022-06-06 00:00:00-04:00,145.96016840882157,147.48897143156546,143.8456620224507,145.07664489746094,71598400,0.0,0.0,Stable,Low,0
2022-06-07 00:00:00-04:00,143.29968391202706,147.91584343668424,143.0515029666635,147.62796020507812,67808200,0.0,0.0,Up,Low,1
2022-06-08 00:00:00-04:00,147.49887612629806,148.77948292109008,146.38703052785783,146.88339233398438,53950200,0.0,0.0,Stable,Low,2
2022-06-09 00:00:00-04:00,146.00980758802268,146.8734723832474,141.49291160052343,141.60211181640625,69473000,0.0,0.0,Down,Low,3
2022-06-10 00:00:00-04:00,139.25927565980368,139.7357787815499,136.0627042203906,136.1322021484375,91437900,0.0,0.0,Down,Medium,4
2022-06-13 00:00:00-04:00,131.90318157952223,134.21622941497344,130.48359408420694,130.92039489746094,122207100,0.0,0.0,Down,Medium,0
2022-06-14 00:00:00-04:00,132.1613091531334,132.91577370123463,130.52330598271703,131.7939910888672,84784300,0.0,0.0,Stable,Medium,1
2022-06-15 00:00:00-04:00,133.31287552581418,136.3406862155205,131.19838408330077,134.444580078125,91533000,0.0,0.0,Up,Medium,2
2022-06-16 00:00:00-04:00,131.11893816537355,131.42668006538247,128.10104986360264,129.11363220214844,108123900,0.0,0.0,Down,Medium,3
2022-06-17 00:00:00-04:00,129.12355852449727,132.11165093609412,128.86544070872029,130.6027069091797,134520300,0.0,0.0,Up,High,4
2022-06-21 00:00:00-04:00,132.44919290405485,136.0627065297986,132.3499296237102,134.88136291503906,81000500,0.0,0.0,Up,Low,1
2022-06-22 00:00:00-04:00,133.8092200881335,136.7576106719913,132.9356335376374,134.3651580810547,73409200,0.0,0.0,Stable,Low,2
2022-06-23 00:00:00-04:00,135.8244545208393,137.5815644420526,134.64311097581628,137.26390075683594,72433800,0.0,0.0,Up,Low,3
2022-06-24 00:00:00-04:00,138.88203854963987,140.8774228665344,138.75299477006664,140.62924194335938,89116800,0.0,0.0,Up,Medium,4
2022-06-27 00:00:00-04:00,141.66166791875244,142.44592811873193,139.94426017175448,140.62924194335938,70207900,0.0,0.0,Stable,Low,0
2022-06-28 00:00:00-04:00,141.0958177663617,142.37642461478964,136.3208194150737,136.43994140625,67083400,0.0,0.0,Down,Low,1
2022-06-29 00:00:00-04:00,136.45980887173667,139.64644352214572,135.67554865216982,138.2169189453125,66242400,0.0,0.0,Up,Low,2
2022-06-30 00:00:00-04:00,136.25133157263517,137.36317729993314,132.7966572429865,135.72518920898438,98964500,0.0,0.0,Down,Medium,3
